Timestamp	Roll(deg)	Pitch(deg)	Yaw(deg)	Roll (rad)	Pitch (rad)	Yaw (rad)
2023-10-31 16:55:05.8259800.369182	-0.264262	158.824539
0.006443	-0.004612	2.772011
2023-10-31 16:55:05.8759750.369345	-0.264233	158.825195
0.006446	-0.004612	2.772023
2023-10-31 16:55:05.9260970.369226	-0.263842	158.825821
0.006444	-0.004605	2.772033
2023-10-31 16:55:05.9761050.369307	-0.263069	158.826248
0.006446	-0.004591	2.772041
2023-10-31 16:55:06.0162440.369410	-0.262145	158.828766
0.006447	-0.004575	2.772085
2023-10-31 16:55:06.0662460.370323	-0.262545	158.830795
0.006463	-0.004582	2.772120
2023-10-31 16:55:06.1162480.370504	-0.262281	158.831009
0.006467	-0.004578	2.772124
2023-10-31 16:55:06.1666430.370811	-0.261863	158.831451
0.006472	-0.004570	2.772132
2023-10-31 16:55:06.2168720.371185	-0.262390	158.832367
0.006478	-0.004580	2.772148
2023-10-31 16:55:06.2668800.370664	-0.262286	158.834579
0.006469	-0.004578	2.772186
2023-10-31 16:55:06.3160680.371351	-0.262793	158.835663
0.006481	-0.004587	2.772205
2023-10-31 16:55:06.3562990.371599	-0.262245	158.838852
0.006486	-0.004577	2.772261
2023-10-31 16:55:06.3964350.370878	-0.262233	158.840149
0.006473	-0.004577	2.772284
2023-10-31 16:55:06.4457130.370686	-0.262083	158.840164
0.006470	-0.004574	2.772284
2023-10-31 16:55:06.4967100.370055	-0.262697	158.840530
0.006459	-0.004585	2.772290
2023-10-31 16:55:06.5367140.370205	-0.262583	158.842773
0.006461	-0.004583	2.772329
2023-10-31 16:55:06.5868330.371333	-0.262360	158.843811
0.006481	-0.004579	2.772347
2023-10-31 16:55:06.6268280.371860	-0.261684	158.846054
0.006490	-0.004567	2.772387
2023-10-31 16:55:06.6649680.371166	-0.261687	158.845184
0.006478	-0.004567	2.772372
2023-10-31 16:55:06.7150980.370335	-0.261437	158.843475
0.006464	-0.004563	2.772342
2023-10-31 16:55:06.7780960.370532	-0.264266	158.854416
0.006467	-0.004612	2.772532
2023-10-31 16:55:06.8050990.369948	-0.264341	158.856216
0.006457	-0.004614	2.772564
2023-10-31 16:55:06.8561030.369640	-0.264193	158.857285
0.006451	-0.004611	2.772583
2023-10-31 16:55:06.9064860.369152	-0.263216	158.856842
0.006443	-0.004594	2.772575
2023-10-31 16:55:06.9686530.369045	-0.262811	158.858002
0.006441	-0.004587	2.772595
2023-10-31 16:55:06.9966540.368394	-0.264225	158.857941
0.006430	-0.004612	2.772594
2023-10-31 16:55:07.0468730.368432	-0.265287	158.859695
0.006430	-0.004630	2.772625
2023-10-31 16:55:07.0868740.367989	-0.264578	158.861069
0.006423	-0.004618	2.772649
2023-10-31 16:55:07.1368770.369066	-0.263943	158.860992
0.006441	-0.004607	2.772647
2023-10-31 16:55:07.1768710.370093	-0.264251	158.862106
0.006459	-0.004612	2.772667
2023-10-31 16:55:07.2258780.370615	-0.263903	158.862762
0.006468	-0.004606	2.772678
2023-10-31 16:55:07.2768740.371038	-0.264242	158.862366
0.006476	-0.004612	2.772671
2023-10-31 16:55:07.3168800.371596	-0.264569	158.861511
0.006486	-0.004618	2.772656
2023-10-31 16:55:07.3668800.371822	-0.264415	158.861969
0.006490	-0.004615	2.772665
2023-10-31 16:55:07.4168800.372444	-0.264944	158.863403
0.006500	-0.004624	2.772690
2023-10-31 16:55:07.4628790.372524	-0.265344	158.861557
0.006502	-0.004631	2.772657
2023-10-31 16:55:07.4968830.372564	-0.265114	158.861053
0.006502	-0.004627	2.772648
2023-10-31 16:55:07.5458820.373036	-0.265294	158.861343
0.006511	-0.004630	2.772654
2023-10-31 16:55:07.5958860.373129	-0.263951	158.861969
0.006512	-0.004607	2.772665
2023-10-31 16:55:07.6438870.373538	-0.263560	158.863266
0.006519	-0.004600	2.772687
2023-10-31 16:55:07.7058870.373501	-0.264539	158.865417
0.006519	-0.004617	2.772725
2023-10-31 16:55:07.7558920.373717	-0.264350	158.876007
0.006523	-0.004614	2.772909
2023-10-31 16:55:07.8068920.373860	-0.264932	158.875763
0.006525	-0.004624	2.772905
2023-10-31 16:55:07.8568940.373764	-0.265755	158.873093
0.006523	-0.004638	2.772859
2023-10-31 16:55:07.9180150.373629	-0.265918	158.872925
0.006521	-0.004641	2.772856
2023-10-31 16:55:07.9451560.373781	-0.266368	158.873199
0.006524	-0.004649	2.772861
2023-10-31 16:55:07.9963070.374017	-0.266999	158.873337
0.006528	-0.004660	2.772863
2023-10-31 16:55:08.0363100.374396	-0.266222	158.873871
0.006534	-0.004646	2.772872
2023-10-31 16:55:08.0863510.374250	-0.266256	158.874557
0.006532	-0.004647	2.772884
2023-10-31 16:55:08.1263550.375784	-0.265668	158.875870
0.006559	-0.004637	2.772907
2023-10-31 16:55:08.1663560.376225	-0.265151	158.877762
0.006566	-0.004628	2.772940
2023-10-31 16:55:08.2153540.376539	-0.264817	158.879425
0.006572	-0.004622	2.772969
2023-10-31 16:55:08.2654700.375951	-0.265416	158.881134
0.006562	-0.004632	2.772999
2023-10-31 16:55:08.3064700.376325	-0.264830	158.880524
0.006568	-0.004622	2.772988
2023-10-31 16:55:08.3464710.376595	-0.265200	158.880676
0.006573	-0.004629	2.772991
2023-10-31 16:55:08.3968050.376492	-0.265592	158.876190
0.006571	-0.004635	2.772913
2023-10-31 16:55:08.4468000.375539	-0.264916	158.874939
0.006554	-0.004624	2.772891
2023-10-31 16:55:08.4968020.376131	-0.262738	158.880264
0.006565	-0.004586	2.772984
2023-10-31 16:55:08.5368720.376358	-0.262445	158.881638
0.006569	-0.004581	2.773008
2023-10-31 16:55:08.5858720.376503	-0.262845	158.880432
0.006571	-0.004588	2.772987
2023-10-31 16:55:08.6358710.377292	-0.263094	158.881546
0.006585	-0.004592	2.773006
2023-10-31 16:55:08.6868710.377400	-0.263431	158.882065
0.006587	-0.004598	2.773015
2023-10-31 16:55:08.7368720.376992	-0.263106	158.880630
0.006580	-0.004592	2.772990
2023-10-31 16:55:08.7868730.376850	-0.263254	158.879562
0.006577	-0.004595	2.772971
2023-10-31 16:55:08.8488780.376251	-0.263288	158.878662
0.006567	-0.004595	2.772956
2023-10-31 16:55:08.8768730.375955	-0.263132	158.879730
0.006562	-0.004593	2.772974
2023-10-31 16:55:08.9258760.375454	-0.262812	158.880905
0.006553	-0.004587	2.772995
2023-10-31 16:55:08.9668820.375388	-0.262257	158.884171
0.006552	-0.004577	2.773052
2023-10-31 16:55:09.0068790.375333	-0.261355	158.886108
0.006551	-0.004562	2.773086
2023-10-31 16:55:09.0468850.375616	-0.261407	158.888107
0.006556	-0.004562	2.773121
2023-10-31 16:55:09.0868920.376098	-0.261503	158.887894
0.006564	-0.004564	2.773117
2023-10-31 16:55:09.1358800.375630	-0.261920	158.888153
0.006556	-0.004571	2.773121
2023-10-31 16:55:09.1768870.374958	-0.261835	158.888748
0.006544	-0.004570	2.773132
2023-10-31 16:55:09.2258890.375130	-0.261767	158.889969
0.006547	-0.004569	2.773153
2023-10-31 16:55:09.2770080.375312	-0.261109	158.891052
0.006550	-0.004557	2.773172
2023-10-31 16:55:09.3170060.375174	-0.260871	158.890579
0.006548	-0.004553	2.773164
2023-10-31 16:55:09.3661780.375116	-0.260323	158.889877
0.006547	-0.004543	2.773151
2023-10-31 16:55:09.4061810.374740	-0.261044	158.892487
0.006540	-0.004556	2.773197
2023-10-31 16:55:09.4561800.373870	-0.260671	158.893463
0.006525	-0.004550	2.773214
2023-10-31 16:55:09.4961810.373843	-0.260901	158.893524
0.006525	-0.004554	2.773215
2023-10-31 16:55:09.5451830.373330	-0.262052	158.895432
0.006516	-0.004574	2.773248
2023-10-31 16:55:09.5951830.372524	-0.262285	158.895660
0.006502	-0.004578	2.773252
2023-10-31 16:55:09.6464220.371675	-0.262619	158.894714
0.006487	-0.004584	2.773236
2023-10-31 16:55:09.6964200.371189	-0.263145	158.894730
0.006478	-0.004593	2.773236
2023-10-31 16:55:09.7464200.370516	-0.262606	158.895782
0.006467	-0.004583	2.773255
2023-10-31 16:55:09.7864240.369416	-0.262834	158.894318
0.006448	-0.004587	2.773229
2023-10-31 16:55:09.8484300.369579	-0.263458	158.895599
0.006450	-0.004598	2.773251
2023-10-31 16:55:09.8764230.369611	-0.263270	158.895752
0.006451	-0.004595	2.773254
2023-10-31 16:55:09.9264270.372553	-0.264611	158.900040
0.006502	-0.004618	2.773329
2023-10-31 16:55:09.9766440.372384	-0.264267	158.901398
0.006499	-0.004612	2.773353
2023-10-31 16:55:10.0267950.372088	-0.263673	158.902039
0.006494	-0.004602	2.773364
2023-10-31 16:55:10.0757910.372216	-0.263827	158.903717
0.006496	-0.004605	2.773393
2023-10-31 16:55:10.1167960.372570	-0.263532	158.904068
0.006503	-0.004599	2.773399
2023-10-31 16:55:10.1561800.373403	-0.264202	158.902679
0.006517	-0.004611	2.773375
2023-10-31 16:55:10.1971780.373072	-0.264467	158.904861
0.006511	-0.004616	2.773413
2023-10-31 16:55:10.2361840.372585	-0.263976	158.905823
0.006503	-0.004607	2.773430
2023-10-31 16:55:10.2861860.372401	-0.264147	158.907593
0.006500	-0.004610	2.773461
2023-10-31 16:55:10.3361840.372100	-0.264460	158.910309
0.006494	-0.004616	2.773508
2023-10-31 16:55:10.3761820.371786	-0.264939	158.912445
0.006489	-0.004624	2.773545
2023-10-31 16:55:10.4261880.372291	-0.263992	158.913757
0.006498	-0.004608	2.773568
2023-10-31 16:55:10.4751900.372882	-0.264048	158.913574
0.006508	-0.004609	2.773565
2023-10-31 16:55:10.5161910.373389	-0.264727	158.913879
0.006517	-0.004620	2.773570
2023-10-31 16:55:10.5561860.372752	-0.265246	158.915665
0.006506	-0.004629	2.773602
2023-10-31 16:55:10.5961910.372445	-0.265532	158.916183
0.006500	-0.004634	2.773611
2023-10-31 16:55:10.6461960.372314	-0.265798	158.917435
0.006498	-0.004639	2.773633
2023-10-31 16:55:10.6861920.372080	-0.266664	158.914536
0.006494	-0.004654	2.773582
2023-10-31 16:55:10.7502000.371579	-0.266670	158.913834
0.006485	-0.004654	2.773570
2023-10-31 16:55:10.7911980.372550	-0.266779	158.914154
0.006502	-0.004656	2.773575
2023-10-31 16:55:10.8252000.372427	-0.267785	158.914520
0.006500	-0.004674	2.773582
2023-10-31 16:55:10.8761950.373425	-0.268337	158.913849
0.006518	-0.004683	2.773570
2023-10-31 16:55:10.9274610.373095	-0.268516	158.914368
0.006512	-0.004686	2.773579
2023-10-31 16:55:10.9664640.372920	-0.267934	158.914886
0.006509	-0.004676	2.773588
2023-10-31 16:55:11.0167550.372796	-0.267881	158.915024
0.006507	-0.004675	2.773590
2023-10-31 16:55:11.0668570.372635	-0.267889	158.915741
0.006504	-0.004676	2.773603
2023-10-31 16:55:11.1070360.372862	-0.268751	158.918015
0.006508	-0.004691	2.773643
2023-10-31 16:55:11.1461660.373206	-0.269937	158.920197
0.006514	-0.004711	2.773681
2023-10-31 16:55:11.1961650.373648	-0.269850	158.921524
0.006521	-0.004710	2.773704
2023-10-31 16:55:11.2461700.371517	-0.270001	158.924210
0.006484	-0.004712	2.773751
2023-10-31 16:55:11.2962700.371165	-0.270048	158.926392
0.006478	-0.004713	2.773789
2023-10-31 16:55:11.3364010.371234	-0.269851	158.927292
0.006479	-0.004710	2.773804
2023-10-31 16:55:11.3867020.370304	-0.269575	158.929718
0.006463	-0.004705	2.773847
2023-10-31 16:55:11.4367020.371306	-0.269051	158.930801
0.006481	-0.004696	2.773866
2023-10-31 16:55:11.4868380.372255	-0.268982	158.931976
0.006497	-0.004695	2.773886
2023-10-31 16:55:11.5270120.372448	-0.269699	158.933365
0.006500	-0.004707	2.773911
2023-10-31 16:55:11.5751480.371679	-0.269853	158.933640
0.006487	-0.004710	2.773915
2023-10-31 16:55:11.6152800.372326	-0.269775	158.934387
0.006498	-0.004708	2.773928
2023-10-31 16:55:11.6564170.372501	-0.269762	158.933121
0.006501	-0.004708	2.773906
2023-10-31 16:55:11.7084180.372674	-0.269777	158.933121
0.006504	-0.004708	2.773906
2023-10-31 16:55:11.7364200.372953	-0.269954	158.935623
0.006509	-0.004712	2.773950
2023-10-31 16:55:11.7865410.372554	-0.269741	158.935791
0.006502	-0.004708	2.773953
2023-10-31 16:55:11.8265470.372573	-0.269616	158.936172
0.006503	-0.004706	2.773959
2023-10-31 16:55:11.8665480.372912	-0.268864	158.937469
0.006509	-0.004693	2.773982
2023-10-31 16:55:11.9165480.372691	-0.268381	158.936890
0.006505	-0.004684	2.773972
2023-10-31 16:55:11.9655550.372676	-0.268396	158.939438
0.006504	-0.004684	2.774017
2023-10-31 16:55:12.0055520.372811	-0.268843	158.939575
0.006507	-0.004692	2.774019
