Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2023-10-31 16:55:11.821840,0.10471975803375244,0.0,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:11.872018,0.10466808080673218,0.006578654050827026,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:11.922046,0.10451311618089676,0.013150815851986408,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:11.972076,0.10425500571727753,0.01970999874174595,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.022105,0.10389401018619537,0.026249730959534645,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.072135,0.10343047976493835,0.032763559371232986,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.122164,0.10286488384008408,0.03924505040049553,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.172456,0.10219776630401611,0.04568781331181526,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.222485,0.10142979025840759,0.05208548903465271,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.272718,0.10056172311306,0.05843175947666168,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.321888,0.09959440678358078,0.06472036987543106,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.371917,0.09852880239486694,0.07094510644674301,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.421946,0.09736596792936325,0.07709982246160507,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.471976,0.09610704332590103,0.08317846059799194,0.0,0.0,0.0,0.0,-0.00021442979050334543,-0.0003796280361711979,0.00013657292583957314,Generated Data
2023-10-31 16:55:12.522006,0.09475326538085938,0.08917500823736191,0.0,0.0,0.0,0.0,-0.00012947003415320069,-0.0005160727305337787,0.0001466669637011364,Generated Data
2023-10-31 16:55:12.572034,0.09330598264932632,0.09508354961872101,0.0,0.0,0.0,0.0,-0.00011887896835105494,-0.00041907932609319687,0.00011284527136012912,Generated Data
2023-10-31 16:55:12.622064,0.09176661819219589,0.10089825093746185,0.0,0.0,0.0,0.0,1.758182406774722e-05,-0.00048669660463929176,8.82681124494411e-05,Generated Data
2023-10-31 16:55:12.672094,0.09013669192790985,0.10661338269710541,0.0,0.0,0.0,0.0,7.121155067579821e-05,-0.0005120746209286153,8.064326721068937e-06,Generated Data
2023-10-31 16:55:12.722123,0.08841781318187714,0.1122233048081398,0.0,0.0,0.0,0.0,0.00011129863560199738,-0.0005256301374174654,-1.2702706953859888e-05,Generated Data
2023-10-31 16:55:12.772153,0.08661167323589325,0.11772246658802032,0.0,0.0,0.0,0.0,0.00025705646839924157,-0.0005441885441541672,-1.859895564848557e-05,Generated Data
2023-10-31 16:55:12.822181,0.08472006022930145,0.12310545891523361,0.0,0.0,0.0,0.0,0.0003758576640393585,-0.000555885024368763,-4.001187699032016e-05,Generated Data
2023-10-31 16:55:12.872211,0.08274483680725098,0.12836694717407227,0.0,0.0,0.0,0.0,0.00015930304653011262,-0.0006933796685189009,6.313931226031855e-05,Generated Data
2023-10-31 16:55:12.922241,0.08068795502185822,0.13350176811218262,0.0,0.0,0.0,0.0,0.0004043933004140854,-0.0007467278628610075,-1.0417438716103788e-05,Generated Data
2023-10-31 16:55:12.972270,0.07855144888162613,0.13850483298301697,0.0,0.0,0.0,0.0,0.00048664098721928895,-0.0008374558528885245,-3.749831739696674e-05,Generated Data
2023-10-31 16:55:13.022299,0.07633741945028305,0.14337120950222015,0.0,0.0,0.0,0.0,0.0006060250452719629,-0.0006686735432595015,-8.115984383039176e-05,Generated Data
2023-10-31 16:55:13.072328,0.07404804974794388,0.14809609949588776,0.0,0.0,0.0,0.0,0.0007788045331835747,-0.0006690395530313253,-9.326855069957674e-05,Generated Data
2023-10-31 16:55:13.122358,0.07168560475111008,0.1526748389005661,0.0,0.0,0.0,0.0,0.0004591158067341894,-0.00042010159813798964,-9.98517862171866e-05,Generated Data
2023-10-31 16:55:13.172387,0.06925241649150848,0.15710289776325226,0.0,0.0,0.0,0.0,0.00035592514905147254,-0.0003098754386883229,-0.000150413834489882,Generated Data
2023-10-31 16:55:13.222416,0.06675088405609131,0.16137591004371643,0.0,0.0,0.0,0.0,0.0005609287763945758,-0.00048021352267824113,-0.00020292977569624782,Generated Data
2023-10-31 16:55:13.272445,0.06418347358703613,0.16548967361450195,0.0,0.0,0.0,0.0,0.0004897050675936043,-0.0006348208989948034,-2.1456824470078573e-05,Generated Data
2023-10-31 16:55:13.322475,0.061552729457616806,0.1694401204586029,0.0,0.0,0.0,0.0,0.0008128158515319228,-0.0007908386760391295,3.3697113394737244e-05,Generated Data
2023-10-31 16:55:13.372504,0.05886123329401016,0.1732233464717865,0.0,0.0,0.0,0.0,0.0007090265862643719,-0.0007769402000121772,6.207598198670894e-05,Generated Data
2023-10-31 16:55:13.422534,0.0561116524040699,0.17683562636375427,0.0,0.0,0.0,0.0,0.0008326516835950315,-0.0007536451448686421,5.0306909542996436e-05,Generated Data
2023-10-31 16:55:13.472562,0.053306691348552704,0.1802733838558197,0.0,0.0,0.0,0.0,0.000885805522557348,-0.0009377544047310948,3.230860966141336e-05,Generated Data
2023-10-31 16:55:13.522593,0.050449125468730927,0.18353323638439178,0.0,0.0,0.0,0.0,0.0009199597989208996,-0.0010003383504226804,8.536616223864257e-05,Generated Data
2023-10-31 16:55:13.572691,0.047541774809360504,0.18661196529865265,0.0,0.0,0.0,0.0,0.001090049627237022,-0.0009685071418061852,0.00017508017481304705,Generated Data
2023-10-31 16:55:13.622720,0.044587504118680954,0.18950653076171875,0.0,0.0,0.0,0.0,0.0005933762877248228,-0.0011876056669279933,-1.0807764738274273e-05,Generated Data
2023-10-31 16:55:13.672809,0.04158923029899597,0.19221408665180206,0.0,0.0,0.0,0.0,0.0007168426527641714,-0.0012146495282649994,0.00017263228073716164,Generated Data
2023-10-31 16:55:13.722838,0.038549911230802536,0.1947319358587265,0.0,0.0,0.0,0.0,0.0007342732860706747,-0.0011576930992305279,8.076517406152561e-05,Generated Data
2023-10-31 16:55:13.772435,0.035472553223371506,0.1970576047897339,0.0,0.0,0.0,0.0,0.0008042062981985509,-0.0009161587804555893,0.0002010671450989321,Generated Data
2023-10-31 16:55:13.822465,0.03236018493771553,0.19918881356716156,0.0,0.0,0.0,0.0,0.00065385497873649,-0.0010023126378655434,0.0004150881723035127,Generated Data
2023-10-31 16:55:13.872495,0.02921587973833084,0.20112344622612,0.0,0.0,0.0,0.0,0.0006798636168241501,-0.0009396465611644089,0.0002966462343465537,Generated Data
2023-10-31 16:55:13.921864,0.026042744517326355,0.20285958051681519,0.0,0.0,0.0,0.0,0.0011628473876044154,-0.0001632031489862129,-6.983850471442565e-05,Generated Data
