# Demo data
Time (s),Latitude (m),Longitude (m),Altitude (m),Speed (m/s)
8968.260556,47.590277,12.976259,746.895,8.851
8968.316111,47.590276,12.976268,747.510,8.889
8968.371667,47.590273,12.976278,747.930,8.859
8968.427222,47.590273,12.976286,748.614,8.863
8968.482778,47.590272,12.976295,749.629,8.924
8968.538333,47.590277,12.976302,750.658,8.984
8968.593889,47.590279,12.976312,751.205,9.129
8968.649444,47.590283,12.976322,751.845,9.225
8968.695000,47.590287,12.976330,752.496,9.305
8968.750556,47.590287,12.976340,752.918,9.372
8968.806111,47.590288,12.976348,753.307,9.383
8968.861667,47.590289,12.976355,753.729,9.403
8968.917222,47.590286,12.976364,754.045,9.492
8968.972778,47.590285,12.976372,754.291,9.533
8969.028333,47.590281,12.976380,754.393,9.607
8969.083889,47.590277,12.976388,754.465,9.620
8969.139444,47.590271,12.976397,754.390,9.680
8969.195000,47.590265,12.976405,754.159,9.682
8969.250556,47.590257,12.976414,753.846,9.738
8969.306111,47.590249,12.976422,753.514,9.840
8969.361667,47.590239,12.976430,753.220,9.837
8969.417222,47.590230,12.976439,752.935,9.908
8969.472778,47.590223,12.976449,752.694,10.047
8969.528333,47.590216,12.976457,752.490,10.071
8969.583889,47.590208,12.976466,752.193,10.154
8969.639444,47.590201,12.976474,751.867,10.193
8969.685000,47.590195,12.976482,751.554,10.226
8969.740556,47.590188,12.976490,751.239,10.220
8969.796111,47.590182,12.976497,751.036,10.284
8969.851667,47.590176,12.976504,750.785,10.296
8969.907222,47.590171,12.976510,750.473,10.327
8969.962778,47.590166,12.976517,750.131,10.324
8970.018333,47.590161,12.976524,749.855,10.369
8970.073889,47.590157,12.976530,749.505,10.420
8970.129444,47.590154,12.976535,749.136,10.499
8970.185000,47.590151,12.976540,748.807,10.505
8970.240556,47.590149,12.976545,748.518,10.466
8970.296111,47.590145,12.976553,748.399,10.509
8970.351667,47.590142,12.976561,748.177,10.613
8970.407222,47.590140,12.976567,747.924,10.702
8970.462778,47.590137,12.976574,747.756,10.665
8970.518333,47.590135,12.976580,747.704,10.547
8970.573889,47.590133,12.976587,747.664,10.625
8970.629444,47.590131,12.976594,747.839,10.762
8970.685000,47.590129,12.976602,747.864,10.834
8970.730000,47.590127,12.976609,747.871,10.854
8970.785556,47.590125,12.976617,747.998,10.882
8970.841111,47.590123,12.976624,748.027,10.977
8970.896667,47.590121,12.976632,748.067,11.133
8970.952222,47.590119,12.976641,748.029,11.262
8971.007778,47.590117,12.976649,747.922,11.325
8971.063333,47.590114,12.976657,747.782,11.370
8971.118889,47.590111,12.976664,747.584,11.434
8971.174444,47.590105,12.976680,747.228,11.539
8971.230000,47.590103,12.976688,747.088,11.519
8971.285556,47.590101,12.976695,746.885,11.483
8971.341111,47.590099,12.976703,746.712,11.556
8971.396667,47.590097,12.976711,746.560,11.666
8971.452222,47.590095,12.976718,746.400,11.733
8971.507778,47.590093,12.976727,746.249,11.697
8971.563333,47.590091,12.976735,746.101,11.772
8971.618889,47.590090,12.976743,745.874,11.787
8971.720000,47.590088,12.976750,745.639,11.853
8971.775556,47.590086,12.976758,745.431,11.901
8971.831111,47.590085,12.976766,745.280,11.944
8971.886667,47.590082,12.976775,745.006,12.044
8971.942222,47.590080,12.976783,744.764,12.152
8971.997778,47.590078,12.976792,744.462,12.314
8972.053333,47.590076,12.976801,744.204,12.347
8972.108889,47.590075,12.976809,744.001,12.380
8972.164444,47.590074,12.976817,743.823,12.448
8972.220000,47.590072,12.976826,743.630,12.518
8972.275556,47.590071,12.976834,743.403,12.535
8972.331111,47.590070,12.976843,743.267,12.570
8972.386667,47.590069,12.976851,743.103,12.660
8972.442222,47.590067,12.976859,742.914,12.820
8972.497778,47.590066,12.976868,742.698,12.904
8972.553333,47.590065,12.976876,742.430,12.914
8972.608889,47.590064,12.976884,742.231,12.932
8972.664444,47.590062,12.976893,742.028,13.067
8972.710000,47.590061,12.976903,741.890,13.195
8972.765556,47.590059,12.976912,741.731,13.207
8972.821111,47.590058,12.976922,741.591,13.241
8972.876667,47.590057,12.976931,741.483,13.293
8972.932222,47.590055,12.976941,741.395,13.364
8972.987778,47.590054,12.976950,741.268,13.453
8973.043333,47.590052,12.976960,741.176,13.565
8973.098889,47.590051,12.976970,741.042,13.608
8973.154444,47.590049,12.976980,741.075,13.690
8973.210000,47.590047,12.976990,741.065,13.701
8973.265556,47.590046,12.976999,740.992,13.776
8973.321111,47.590044,12.977010,740.917,13.803
8973.376667,47.590043,12.977020,740.826,13.855
8973.432222,47.590041,12.977030,740.749,13.929
8973.487778,47.590039,12.977040,740.672,13.970
8973.543333,47.590038,12.977050,740.603,14.001
8973.598889,47.590036,12.977059,740.551,13.968
8973.654444,47.590034,12.977069,740.487,13.981
8973.700000,47.590033,12.977080,740.413,14.021
8973.755556,47.590031,12.977090,740.339,14.053
8973.811111,47.590029,12.977100,740.267,14.093
8973.866667,47.590027,12.977110,740.205,14.141
8973.922222,47.590026,12.977120,740.143,14.173
8973.977778,47.590024,12.977130,740.077,14.186
8974.033333,47.590023,12.977141,740.010,14.226
8974.088889,47.590021,12.977151,739.930,14.296
8974.144444,47.590019,12.977161,739.861,14.269
8974.200000,47.590016,12.977171,739.797,14.254
8974.255556,47.590014,12.977181,739.725,14.189
8974.311111,47.590011,12.977191,739.648,14.188
8974.366667,47.590009,12.977200,739.576,14.109
8974.422222,47.590006,12.977209,739.511,14.083
8974.477778,47.590003,12.977219,739.458,14.109
8974.533333,47.590000,12.977229,739.409,14.082
8974.588889,47.589994,12.977248,739.326,14.157
8974.690000,47.589992,12.977258,739.257,14.133
8974.745556,47.589989,12.977267,739.173,14.165
8974.801111,47.589986,12.977277,739.094,14.152
8974.856667,47.589982,12.977286,739.023,14.162
8974.912222,47.589976,12.977294,738.985,14.131
8974.967778,47.589971,12.977302,738.956,14.085
8975.023333,47.589967,12.977312,738.888,14.207
8975.078889,47.589962,12.977320,738.851,14.226
8975.134444,47.589957,12.977328,738.828,14.170
8975.190000,47.589952,12.977336,738.797,14.123
8975.245556,47.589948,12.977344,738.803,14.167
8975.301111,47.589943,12.977353,738.769,14.203
8975.356667,47.589938,12.977361,738.746,14.226
8975.412222,47.589933,12.977369,738.704,14.257
8975.467778,47.589927,12.977377,738.687,14.265
8975.523333,47.589922,12.977385,738.696,14.223
8975.578889,47.589919,12.977393,738.661,14.192
8975.634444,47.589915,12.977402,738.657,14.227
8975.690000,47.589910,12.977411,738.628,14.353
8975.735000,47.589906,12.977421,738.583,14.453
8975.790555,47.589899,12.977429,738.590,14.529
8975.846111,47.589892,12.977437,738.612,14.695
8975.901667,47.589885,12.977446,738.635,14.905
8975.957222,47.589878,12.977454,738.661,15.091
8976.012778,47.589870,12.977462,738.663,15.284
8976.068333,47.589863,12.977471,738.664,15.446
8976.123889,47.589857,12.977479,738.665,15.546
8976.179444,47.589850,12.977488,738.660,15.695
8976.235000,47.589844,12.977497,738.649,15.841
8976.290555,47.589837,12.977506,738.610,15.939
8976.346111,47.589832,12.977515,738.583,15.973
8976.401667,47.589825,12.977523,738.595,16.035
8976.457222,47.589819,12.977532,738.582,16.125
8976.512778,47.589812,12.977542,738.581,16.295
8976.568333,47.589806,12.977551,738.577,16.450
8976.623889,47.589799,12.977560,738.587,16.610
8976.679444,47.589792,12.977569,738.603,16.677
8976.725000,47.589785,12.977577,738.627,16.730
8976.780555,47.589778,12.977585,738.691,16.805
8976.836111,47.589772,12.977595,738.656,16.894
8976.891667,47.589767,12.977604,738.589,16.875
8976.947222,47.589761,12.977613,738.536,16.876
8977.002778,47.589755,12.977622,738.449,16.880
8977.058333,47.589748,12.977631,738.385,16.942
