Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2024-06-15 20:32:24.757636,0.4300000071525574,-2.430000066757202,22.5,0.0,0.0,0.0,-0.0005244833300821483,-0.0012393599608913064,-9.456127372686751e-06,Captured Data
2024-06-15 20:32:24.957754,0.4300000071525574,-2.430000066757202,22.5,0.0,0.0,0.0,-0.0005244833300821483,-0.0012393599608913064,-9.456127372686751e-06,Captured Data
2024-06-15 20:32:25.157981,-1.3233333826065063,-1.9566667079925537,22.5,0.0,0.0,0.0,9.590553418092895e-06,0.000362738297553733,-0.00011663665645755827,Captured Data
2024-06-15 20:32:25.358097,-4.829999923706055,-1.0099999904632568,22.5,0.0,0.0,0.0,0.0006005128961987793,0.0019681360572576523,-0.0001941755908774212,Captured Data
2024-06-15 20:32:25.558216,-7.159999847412109,1.0399999618530273,22.5,0.0,0.0,0.0,0.0011676563881337643,0.0034089391119778156,-0.00021766856661997736,Captured Data
2024-06-15 20:32:25.758544,-6.929999828338623,1.8233333826065063,22.5,0.0,0.0,0.0,-0.00438937870785594,0.009878464043140411,0.0033782552927732468,Captured Data
2024-06-15 20:32:25.957660,-6.46999979019165,3.390000104904175,22.5,0.0,0.0,0.0,-0.01692141219973564,0.02357395552098751,0.01207907684147358,Captured Data
2024-06-15 20:32:26.157895,-4.809999942779541,3.799999952316284,22.5,0.0,0.0,0.0,-0.029568001627922058,0.03758591413497925,0.021538149565458298,Captured Data
2024-06-15 20:32:26.358012,-4.328333377838135,3.8350000381469727,22.5,0.0,0.0,0.0,-0.0418279692530632,0.04580552130937576,0.03442566096782684,Captured Data
2024-06-15 20:32:26.558131,-1.9199999570846558,4.010000228881836,22.5,0.0,0.0,0.0,-0.0424654483795166,0.0492439828813076,0.059354476630687714,Captured Data
2024-06-15 20:32:26.758248,-1.9199999570846558,4.010000228881836,22.5,0.0,0.0,0.0,-0.03445975482463837,0.049868423491716385,0.09361822158098221,Captured Data
2024-06-15 20:32:26.958366,-1.3899999856948853,4.296666622161865,22.5,0.0,0.0,0.0,-0.021940991282463074,0.049750447273254395,0.1362413913011551,Captured Data
2024-06-15 20:32:27.158483,1.2599999904632568,5.730000019073486,22.5,0.0,0.0,0.0,-0.016990747302770615,0.050292450934648514,0.18228361010551453,Captured Data
2024-06-15 20:32:27.357691,1.2599999904632568,5.730000019073486,22.5,0.0,0.0,0.0,-0.004395419266074896,0.053776685148477554,0.2313736081123352,Captured Data
2024-06-15 20:32:27.557809,1.7633333206176758,5.570000171661377,22.5,0.0,0.0,0.0,0.011477713473141193,0.061151597648859024,0.27584201097488403,Captured Data
2024-06-15 20:32:27.757926,2.7699999809265137,5.25,22.5,0.0,0.0,0.0,0.01908421330153942,0.07102523744106293,0.3049650192260742,Captured Data
2024-06-15 20:32:27.958044,1.9700000286102295,3.880000114440918,22.5,0.0,0.0,0.0,0.027687113732099533,0.0779871940612793,0.3233828842639923,Captured Data
2024-06-15 20:32:28.158305,1.6200000047683716,3.448333263397217,22.5,0.0,0.0,0.0,0.03214764967560768,0.07404549419879913,0.3358912169933319,Captured Data
2024-06-15 20:32:28.358423,-0.12999999523162842,1.2899999618530273,22.5,0.0,0.0,0.0,0.030077969655394554,0.06360889226198196,0.34523019194602966,Captured Data
