Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2024-05-13 17:17:36.023787,0.3490658402442932,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.028789,0.3488936126232147,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.066811,0.3483770489692688,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.116842,0.3475166857242584,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.166871,0.34631335735321045,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.216900,0.3447682559490204,0.0,0.0,0.0,0.0,0.0,-0.0003873009991366416,-0.0013803746551275253,-2.417410541966092e-05,Generated Data
2024-05-13 17:17:36.266930,0.3428829312324524,0.0,0.0,0.0,0.0,0.0,-0.0006088733789511025,-0.0012745658168569207,-8.27306357678026e-05,Generated Data
2024-05-13 17:17:36.316959,0.3406592011451721,0.0,0.0,0.0,0.0,0.0,-0.0005778524209745228,-0.000738356844522059,-0.00010849068348761648,Generated Data
2024-05-13 17:17:36.366990,0.33809930086135864,0.0,0.0,0.0,0.0,0.0,-0.0005948004545643926,-8.731007983442396e-05,-2.5449448003200814e-05,Generated Data
2024-05-13 17:17:36.416774,0.33520573377609253,0.0,0.0,0.0,0.0,0.0,-0.0005070684128440917,0.0005627401988022029,-0.00018612516578286886,Generated Data
2024-05-13 17:17:36.466799,0.331981360912323,0.0,0.0,0.0,0.0,0.0,-0.0004545190022327006,0.00096037337789312,-0.0001881560165202245,Generated Data
2024-05-13 17:17:36.516830,0.32842934131622314,0.0,0.0,0.0,0.0,0.0,-0.00046050737728364766,0.0011394360335543752,-8.313434227602556e-05,Generated Data
2024-05-13 17:17:36.566860,0.3245532214641571,0.0,0.0,0.0,0.0,0.0,-0.00019661312398966402,0.0018670896533876657,-0.00017144567391369492,Generated Data
2024-05-13 17:17:36.616889,0.3203567862510681,0.0,0.0,0.0,0.0,0.0,3.746394213521853e-05,0.0022554900497198105,-0.0001267196494154632,Generated Data
2024-05-13 17:17:36.666919,0.31584423780441284,0.0,0.0,0.0,0.0,0.0,2.4827977540553547e-05,0.002757459878921509,-0.00011751096462830901,Generated Data
2024-05-13 17:17:36.716947,0.3110199570655823,0.0,0.0,0.0,0.0,0.0,0.00026204215828329325,0.003126426599919796,-0.00017638292047195137,Generated Data
2024-05-13 17:17:36.766976,0.30588874220848083,0.0,0.0,0.0,0.0,0.0,0.0004320992447901517,0.003598293988034129,-0.00016737014811951667,Generated Data
2024-05-13 17:17:36.817006,0.30045565962791443,0.0,0.0,0.0,0.0,0.0,0.00037302650162018836,0.004023754503577948,-5.709471952286549e-05,Generated Data
2024-05-13 17:17:36.867036,0.29472604393959045,0.0,0.0,0.0,0.0,0.0,0.0005046496517024934,0.0045548551715910435,-9.037976269610226e-05,Generated Data
2024-05-13 17:17:36.917067,0.28870558738708496,0.0,0.0,0.0,0.0,0.0,0.0006353524513542652,0.005121342372149229,3.953051782445982e-05,Generated Data
2024-05-13 17:17:36.967094,0.2824001908302307,0.0,0.0,0.0,0.0,0.0,0.0006846733740530908,0.0051787616685032845,7.841147453291342e-05,Generated Data
2024-05-13 17:17:37.017125,0.2758161425590515,0.0,0.0,0.0,0.0,0.0,0.0009438085835427046,0.005574273411184549,9.281097845814656e-07,Generated Data
2024-05-13 17:17:37.067154,0.2689598500728607,0.0,0.0,0.0,0.0,0.0,0.0009411271312274039,0.006509687285870314,7.375566201517358e-05,Generated Data
2024-05-13 17:17:37.117184,0.2618381679058075,0.0,0.0,0.0,0.0,0.0,0.0010509972926229239,0.006419637706130743,9.064128244062886e-05,Generated Data
2024-05-13 17:17:37.167214,0.2544580399990082,0.0,0.0,0.0,0.0,0.0,0.001032149652019143,0.007270926609635353,0.00027591927209869027,Generated Data
2024-05-13 17:17:37.217243,0.24682682752609253,0.0,0.0,0.0,0.0,0.0,0.0015122916083782911,0.007438735570758581,0.0003069887461606413,Generated Data
2024-05-13 17:17:37.267272,0.23895201086997986,0.0,0.0,0.0,0.0,0.0,0.001530025852844119,0.00782077107578516,0.00015145420911721885,Generated Data
2024-05-13 17:17:37.317308,0.23084138333797455,0.0,0.0,0.0,0.0,0.0,0.0016253850189968944,0.008280359208583832,0.0001887053658720106,Generated Data
2024-05-13 17:17:37.367332,0.2225029468536377,0.0,0.0,0.0,0.0,0.0,0.0019085160456597805,0.00894355121999979,-5.872370820725337e-06,Generated Data
2024-05-13 17:17:37.417360,0.2139449268579483,0.0,0.0,0.0,0.0,0.0,0.0019520402420312166,0.009899603202939034,0.00011050920147681609,Generated Data
2024-05-13 17:17:37.467390,0.2051757574081421,0.0,0.0,0.0,0.0,0.0,0.0022743914742022753,0.010099670849740505,-0.00012111051910324022,Generated Data
